coucode,casecode,indcode,ecorisk,dCi
4,33,12,0.00369671398000182,-0
4,33,13,0.0113848435483284,-0
4,33,14,0.00320904978994074,-0
4,33,15,0.00837063730466892,-0
4,33,16,0.0133831482922427,-0
4,33,17,0.00826260565584946,-0
4,33,18,0.00780766032644198,-0
4,33,19,0.0175993766505959,-0
4,33,20,0.0178080824467027,-0
4,33,21,0.00159769680854227,-0
4,33,22,0.00917585606656224,-0
4,33,23,0.0110517230864825,-0
4,33,24,0.00552252112162621,-0
4,33,25,0.0112149998270816,-0
4,33,26,0.0221253418917541,-0
4,33,27,0.0239379440565206,-0
4,33,28,0.0143901428836664,-0
